,Functions - License scope options,,,
,HW MT,HW Model,Function,License Scope
,2107.0,921.0,10.0,3.0
,2107.0,921.0,20.0,2.0
,2107.0,921.0,21.0,2.0
,2107.0,921.0,22.0,1.0
,2107.0,921.0,22.0,2.0
,2107.0,921.0,22.0,3.0
,2107.0,921.0,23.0,1.0
,2107.0,921.0,23.0,2.0
,2107.0,921.0,23.0,3.0
,2107.0,921.0,24.0,1.0
,2107.0,921.0,24.0,2.0
,2107.0,921.0,24.0,3.0
,2107.0,921.0,27.0,1.0
,2107.0,921.0,27.0,2.0
,2107.0,921.0,27.0,3.0
,2107.0,921.0,28.0,2.0
,2107.0,921.0,30.0,2.0
,2107.0,921.0,31.0,2.0
,2107.0,921.0,40.0,1.0
,2107.0,921.0,51.0,3.0
,2107.0,922.0,10.0,3.0
,2107.0,922.0,20.0,2.0
,2107.0,922.0,21.0,2.0
,2107.0,922.0,22.0,1.0
,2107.0,922.0,22.0,2.0
,2107.0,922.0,22.0,3.0
,2107.0,922.0,23.0,1.0
,2107.0,922.0,23.0,2.0
,2107.0,922.0,23.0,3.0
,2107.0,922.0,24.0,1.0
,2107.0,922.0,24.0,2.0
,2107.0,922.0,24.0,3.0
,2107.0,922.0,27.0,1.0
,2107.0,922.0,27.0,2.0
,2107.0,922.0,27.0,3.0
,2107.0,922.0,28.0,2.0
,2107.0,922.0,30.0,2.0
,2107.0,922.0,31.0,2.0
,2107.0,922.0,40.0,1.0
,2107.0,922.0,51.0,3.0
,2107.0,931.0,10.0,1.0
,2107.0,931.0,20.0,2.0
,2107.0,931.0,21.0,2.0
,2107.0,931.0,23.0,1.0
,2107.0,931.0,23.0,2.0
,2107.0,931.0,23.0,3.0
,2107.0,931.0,24.0,1.0
,2107.0,931.0,24.0,2.0
,2107.0,931.0,24.0,3.0
,2107.0,931.0,25.0,1.0
,2107.0,931.0,25.0,2.0
,2107.0,931.0,25.0,3.0
,2107.0,931.0,26.0,1.0
,2107.0,931.0,26.0,2.0
,2107.0,931.0,26.0,3.0
,2107.0,931.0,27.0,1.0
,2107.0,931.0,27.0,2.0
,2107.0,931.0,27.0,3.0
,2107.0,931.0,28.0,2.0
,2107.0,931.0,30.0,2.0
,2107.0,931.0,31.0,2.0
,2107.0,931.0,40.0,1.0
,2107.0,931.0,51.0,3.0
,2421.0,931.0,10.0,1.0
,2421.0,931.0,20.0,2.0
,2421.0,931.0,21.0,2.0
,2421.0,931.0,23.0,1.0
,2421.0,931.0,23.0,2.0
,2421.0,931.0,23.0,3.0
,2421.0,931.0,24.0,1.0
,2421.0,931.0,24.0,2.0
,2421.0,931.0,24.0,3.0
,2421.0,931.0,25.0,1.0
,2421.0,931.0,25.0,2.0
,2421.0,931.0,25.0,3.0
,2421.0,931.0,26.0,1.0
,2421.0,931.0,26.0,2.0
,2421.0,931.0,26.0,3.0
,2421.0,931.0,27.0,1.0
,2421.0,931.0,27.0,2.0
,2421.0,931.0,27.0,3.0
,2421.0,931.0,28.0,2.0
,2421.0,931.0,30.0,2.0
,2421.0,931.0,31.0,2.0
,2421.0,931.0,40.0,1.0
,2421.0,931.0,51.0,3.0
,2422.0,931.0,10.0,1.0
,2422.0,931.0,20.0,2.0
,2422.0,931.0,21.0,2.0
,2422.0,931.0,23.0,1.0
,2422.0,931.0,23.0,2.0
,2422.0,931.0,23.0,3.0
,2422.0,931.0,24.0,1.0
,2422.0,931.0,24.0,2.0
,2422.0,931.0,24.0,3.0
,2422.0,931.0,25.0,1.0
,2422.0,931.0,25.0,2.0
,2422.0,931.0,25.0,3.0
,2422.0,931.0,26.0,1.0
,2422.0,931.0,26.0,2.0
,2422.0,931.0,26.0,3.0
,2422.0,931.0,27.0,1.0
,2422.0,931.0,27.0,2.0
,2422.0,931.0,27.0,3.0
,2422.0,931.0,28.0,2.0
,2422.0,931.0,30.0,2.0
,2422.0,931.0,31.0,2.0
,2422.0,931.0,40.0,1.0
,2422.0,931.0,51.0,3.0
,2423.0,931.0,10.0,1.0
,2423.0,931.0,20.0,2.0
,2423.0,931.0,21.0,2.0
,2423.0,931.0,23.0,1.0
,2423.0,931.0,23.0,2.0
,2423.0,931.0,23.0,3.0
,2423.0,931.0,24.0,1.0
,2423.0,931.0,24.0,2.0
,2423.0,931.0,24.0,3.0
,2423.0,931.0,25.0,1.0
,2423.0,931.0,25.0,2.0
,2423.0,931.0,25.0,3.0
,2423.0,931.0,26.0,1.0
,2423.0,931.0,26.0,2.0
,2423.0,931.0,26.0,3.0
,2423.0,931.0,27.0,1.0
,2423.0,931.0,27.0,2.0
,2423.0,931.0,27.0,3.0
,2423.0,931.0,28.0,2.0
