,Functions - License scope override features,,,,
,HW MT,HW Model,Function,License Scope Override Feature,License Scope Override
,2107.0,931.0,10.0,7090.0,3.0
,2107.0,932.0,10.0,7090.0,3.0
,2107.0,9B2,10.0,7090.0,3.0
,2421.0,931.0,10.0,7090.0,3.0
,2421.0,932.0,10.0,7090.0,3.0
,2421.0,941.0,10.0,7091.0,3.0
,2421.0,951.0,10.0,7091.0,3.0
,2421.0,961.0,10.0,7091.0,3.0
,2421.0,9B2,10.0,7090.0,3.0
,2422.0,931.0,10.0,7090.0,3.0
,2422.0,932.0,10.0,7090.0,3.0
,2422.0,941.0,10.0,7091.0,3.0
,2422.0,951.0,10.0,7091.0,3.0
,2422.0,961.0,10.0,7091.0,3.0
,2422.0,9B2,10.0,7090.0,3.0
,2423.0,931.0,10.0,7090.0,3.0
,2423.0,932.0,10.0,7090.0,3.0
,2423.0,941.0,10.0,7091.0,3.0
,2423.0,951.0,10.0,7091.0,3.0
,2423.0,961.0,10.0,7091.0,3.0
,2423.0,9B2,10.0,7090.0,3.0
,2424.0,931.0,10.0,7090.0,3.0
,2424.0,932.0,10.0,7090.0,3.0
,2424.0,941.0,10.0,7091.0,3.0
,2424.0,951.0,10.0,7091.0,3.0
,2424.0,961.0,10.0,7091.0,3.0
