,Function sort keys,,
,FA MT,Sort Key,Function Value
,2244.0,10.0,10.0
,2244.0,15.0,51.0
,2244.0,20.0,40.0
,2244.0,25.0,31.0
,2244.0,30.0,23.0
,2244.0,35.0,24.0
,2244.0,40.0,22.0
,2244.0,50.0,27.0
,2244.0,60.0,25.0
,2244.0,70.0,26.0
,2244.0,80.0,21.0
,2244.0,85.0,28.0
,2244.0,90.0,20.0
,2244.0,100.0,30.0
,2396.0,5.0,52.0
,2396.0,10.0,10.0
,2396.0,15.0,51.0
,2396.0,17.0,53.0
,2396.0,18.0,55.0
,2396.0,20.0,40.0
,2396.0,25.0,31.0
,2396.0,27.0,32.0
,2396.0,30.0,23.0
,2396.0,35.0,24.0
,2396.0,40.0,27.0
,2396.0,50.0,25.0
,2396.0,60.0,26.0
,2396.0,70.0,21.0
,2396.0,75.0,28.0
,2396.0,80.0,20.0
,2396.0,85.0,54.0
,2396.0,90.0,30.0
,2397.0,5.0,52.0
,2397.0,10.0,10.0
,2397.0,15.0,51.0
,2397.0,17.0,53.0
,2397.0,18.0,55.0
,2397.0,20.0,40.0
,2397.0,25.0,31.0
,2397.0,27.0,32.0
,2397.0,30.0,23.0
,2397.0,35.0,24.0
,2397.0,40.0,27.0
,2397.0,50.0,25.0
,2397.0,60.0,26.0
,2397.0,70.0,21.0
,2397.0,75.0,28.0
,2397.0,80.0,20.0
,2397.0,85.0,54.0
,2397.0,90.0,30.0,,,
,2398.0,5.0,52.0,,,
,2398.0,10.0,10.0
,2398.0,15.0,51.0
,2398.0,17.0,53.0
,2398.0,18.0,55.0
,2398.0,20.0,40.0
,2398.0,25.0,31.0
,2398.0,27.0,32.0
,2398.0,30.0,23.0
,2398.0,35.0,24.0
,2398.0,40.0,27.0
,2398.0,50.0,25.0
,2398.0,60.0,26.0
,2398.0,70.0,21.0
,2398.0,75.0,28.0
,2398.0,80.0,20.0
,2398.0,85.0,54.0
,2398.0,90.0,30.0
,2399.0,5.0,52.0
,2399.0,10.0,10.0
,2399.0,15.0,51.0
,2399.0,17.0,53.0
,2399.0,18.0,55.0
,2399.0,20.0,40.0
,2399.0,25.0,31.0
,2399.0,27.0,32.0
,2399.0,30.0,23.0
,2399.0,35.0,24.0
,2399.0,40.0,27.0
,2399.0,50.0,25.0
,2399.0,60.0,26.0
,2399.0,70.0,21.0
,2399.0,75.0,28.0
,2399.0,80.0,20.0
,2399.0,85.0,54.0
