,Hardware features - DS8000,,,,,,,,
,MT,Model,Feature,Feature Description (30 char max),License Value Override,Licensed Function Indicator,IGF Transaction Indicator,CoD Machine Indicator,CoD Activation Period
,2107.0,921.0,0700,OEL indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0707,TP indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0708,DB protection indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0709,zHPF indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0720,PTC indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0723,PTC add-on indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0730,SE indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0733,SE add-on indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0740,RMC indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0742,MGM indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0760,RMZ indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0763,RMZ resync indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0780,PAV indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0782,HyperPAV indicator,FALSE,TRUE,FALSE,FALSE,
,2107.0,921.0,0900,Non-Standby CoD,FALSE,FALSE,FALSE,FALSE,
,2107.0,921.0,0901,Standby CoD indicator,TRUE,FALSE,FALSE,TRUE,365.0
,2107.0,921.0,0902,Standby CoD indicator,TRUE,FALSE,FALSE,TRUE,365.0
,2107.0,921.0,0903,Standby CoD indicator,TRUE,FALSE,FALSE,TRUE,730.0
,2107.0,921.0,0904,Standby CoD indicator,TRUE,FALSE,FALSE,TRUE,3650.0
,2107.0,921.0,7000.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7001.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7002.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7003.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7004.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7005.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7010.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7015.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7070.0,IGF transaction: TP,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7080.0,IGF transaction: DB protect,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7092.0,IGF transaction: zHPF,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7200.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7201.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7202.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7203.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7204.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7205.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7210.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7215.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7230.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7231.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7232.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7233.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7234.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7235.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7240.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7245.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7300.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7301.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7302.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7303.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7304.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7305.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7310.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7315.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7330.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7331.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7332.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7333.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7334.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7335.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7340.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7345.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7400.0,IGF transaction: RMC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7401.0,IGF transaction: RMC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7402.0,IGF transaction: RMC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7403.0,IGF transaction: RMC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7404.0,IGF transaction: RMC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7405.0,IGF transaction: RMC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7410.0,IGF transaction: RMC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7415.0,IGF transaction: RMC,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7420.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7421.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7422.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7423.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7424.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7425.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7430.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7435.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7600.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7601.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7602.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7603.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7604.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7605.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7610.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7615.0,IGF transaction: RMZ,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7630.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7631.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7632.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7633.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7634.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7635.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7640.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7645.0,IGF transaction: RMZ resync,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7800.0,IGF transaction: PAV,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7801.0,IGF transaction: PAV,FALSE,FALSE,TRUE,FALSE,
,2107.0,921.0,7802.0,IGF transaction: PAV,FALSE,FALSE,TRUE,FALSE,
